account_id,district_id,frequency,parseddate,year,month,day,date
A00000576,55,Monthly Issuance,2013-01-01,2013,1,1,2013-01-01
A00003818,74,Monthly Issuance,2013-01-01,2013,1,1,2013-01-01
A00000704,55,Monthly Issuance,2013-01-01,2013,1,1,2013-01-01
A00002378,16,Monthly Issuance,2013-01-01,2013,1,1,2013-01-01
A00002632,24,Monthly Issuance,2013-01-02,2013,1,2,2013-01-02
A00001972,77,Monthly Issuance,2013-01-02,2013,1,2,2013-01-02
A00001539,1,Issuance After Transaction,2013-01-03,2013,1,3,2013-01-03
A00000793,47,Monthly Issuance,2013-01-03,2013,1,3,2013-01-03
A00002484,74,Monthly Issuance,2013-01-03,2013,1,3,2013-01-03
A00001695,76,Monthly Issuance,2013-01-03,2013,1,3,2013-01-03
A00001726,48,Monthly Issuance,2013-01-03,2013,1,3,2013-01-03
A00002881,70,Monthly Issuance,2013-01-04,2013,1,4,2013-01-04
A00002357,19,Monthly Issuance,2013-01-04,2013,1,4,2013-01-04
A00002177,62,Monthly Issuance,2013-01-04,2013,1,4,2013-01-04
A00000485,6,Issuance After Transaction,2013-01-04,2013,1,4,2013-01-04
A00000652,21,Monthly Issuance,2013-01-05,2013,1,5,2013-01-05
A00009635,70,Monthly Issuance,2013-01-05,2013,1,5,2013-01-05
A00001844,44,Monthly Issuance,2013-01-06,2013,1,6,2013-01-06
A00001926,37,Monthly Issuance,2013-01-06,2013,1,6,2013-01-06
A00002393,10,Monthly Issuance,2013-01-07,2013,1,7,2013-01-07
A00003510,41,Monthly Issuance,2013-01-07,2013,1,7,2013-01-07
A00001276,36,Monthly Issuance,2013-01-07,2013,1,7,2013-01-07
A00001637,1,Monthly Issuance,2013-01-08,2013,1,8,2013-01-08
A00003871,26,Monthly Issuance,2013-01-08,2013,1,8,2013-01-08
A00000192,55,Monthly Issuance,2013-01-08,2013,1,8,2013-01-08
A00000764,1,Monthly Issuance,2013-01-08,2013,1,8,2013-01-08
A00002087,7,Weekly Issuance,2013-01-08,2013,1,8,2013-01-08
A00002122,68,Monthly Issuance,2013-01-08,2013,1,8,2013-01-08
A00003592,54,Monthly Issuance,2013-01-08,2013,1,8,2013-01-08
A00003487,41,Monthly Issuance,2013-01-08,2013,1,8,2013-01-08
A00000435,38,Monthly Issuance,2013-01-08,2013,1,8,2013-01-08
A00001730,1,Monthly Issuance,2013-01-09,2013,1,9,2013-01-09
A00001493,41,Monthly Issuance,2013-01-09,2013,1,9,2013-01-09
A00000374,38,Monthly Issuance,2013-01-09,2013,1,9,2013-01-09
A00002925,1,Monthly Issuance,2013-01-10,2013,1,10,2013-01-10
A00000866,9,Monthly Issuance,2013-01-10,2013,1,10,2013-01-10
A00001628,60,Monthly Issuance,2013-01-10,2013,1,10,2013-01-10
A00002379,44,Monthly Issuance,2013-01-10,2013,1,10,2013-01-10
A00001979,26,Monthly Issuance,2013-01-11,2013,1,11,2013-01-11
A00000346,37,Monthly Issuance,2013-01-11,2013,1,11,2013-01-11
A00001338,74,Monthly Issuance,2013-01-11,2013,1,11,2013-01-11
A00001909,14,Monthly Issuance,2013-01-12,2013,1,12,2013-01-12
A00002099,3,Weekly Issuance,2013-01-12,2013,1,12,2013-01-12
